year,event_code,bib,name,finished,dnf_type,cp_id,cp_name,cp_type,arrival_time,split_label,split_secs,elapsed_str,dwell_secs
2021,21hk4tuc,16,Jacky Leung Chun Keung 梁俊強,True,N/A,101412,Start,start,2021-02-12 06:49:00,,0,00:00:00,
2021,21hk4tuc,16,Jacky Leung Chun Keung 梁俊強,True,N/A,101415,End Maclehose Trail,control,2021-02-12 20:10:36,13:21:36,48096,13:21:36,
2021,21hk4tuc,16,Jacky Leung Chun Keung 梁俊強,True,N/A,101418,Start Wilson Trail,control,2021-02-12 21:22:14,01:11:38,4298,14:33:14,
2021,21hk4tuc,16,Jacky Leung Chun Keung 梁俊強,True,N/A,101419,End Wilson Trail,control,2021-02-13 12:28:27,15:06:13,54373,29:39:27,
2021,21hk4tuc,16,Jacky Leung Chun Keung 梁俊強,True,N/A,101421,Start HK Trail,control,2021-02-13 13:31:24,01:02:57,3777,30:42:24,
2021,21hk4tuc,16,Jacky Leung Chun Keung 梁俊強,True,N/A,101422,End HK Trail,control,2021-02-13 20:39:00,07:07:36,25656,37:50:00,
2021,21hk4tuc,16,Jacky Leung Chun Keung 梁俊強,True,N/A,101424,Start Lantau Trail,control,2021-02-14 08:08:03,11:29:03,41343,49:19:03,
2021,21hk4tuc,16,Jacky Leung Chun Keung 梁俊強,True,N/A,101425,Finish,finish,2021-02-14 08:15:15,00:07:12,432,49:26:15,
2021,21hk4tuc,9,Salomon Wettstein,True,N/A,101412,Start,start,2021-02-12 06:18:00,,0,00:00:00,
2021,21hk4tuc,9,Salomon Wettstein,True,N/A,101415,End Maclehose Trail,control,2021-02-12 19:18:43,13:00:43,46843,13:00:43,
2021,21hk4tuc,9,Salomon Wettstein,True,N/A,101418,Start Wilson Trail,control,2021-02-12 20:08:42,00:49:59,2999,13:50:42,
2021,21hk4tuc,9,Salomon Wettstein,True,N/A,101419,End Wilson Trail,control,2021-02-13 10:54:39,14:45:57,53157,28:36:39,
2021,21hk4tuc,9,Salomon Wettstein,True,N/A,101421,Start HK Trail,control,2021-02-13 11:41:20,00:46:41,2801,29:23:20,
2021,21hk4tuc,9,Salomon Wettstein,True,N/A,101422,End HK Trail,control,2021-02-13 17:45:00,06:03:40,21820,35:27:00,
2021,21hk4tuc,9,Salomon Wettstein,True,N/A,101424,Start Lantau Trail,control,2021-02-13 20:11:00,02:26:00,8760,37:53:00,
2021,21hk4tuc,9,Salomon Wettstein,True,N/A,101425,Finish,finish,2021-02-14 10:11:45,14:00:45,50445,51:53:45,
2021,21hk4tuc,13,Lau Chun Man 劉俊文,True,N/A,101412,Start,start,2021-02-12 06:46:00,,0,00:00:00,
2021,21hk4tuc,13,Lau Chun Man 劉俊文,True,N/A,101415,End Maclehose Trail,control,2021-02-12 21:30:00,14:44:00,53040,14:44:00,
2021,21hk4tuc,13,Lau Chun Man 劉俊文,True,N/A,101418,Start Wilson Trail,control,2021-02-12 22:37:00,01:07:00,4020,15:51:00,
2021,21hk4tuc,13,Lau Chun Man 劉俊文,True,N/A,101419,End Wilson Trail,control,2021-02-13 15:09:02,16:32:02,59522,32:23:02,
2021,21hk4tuc,13,Lau Chun Man 劉俊文,True,N/A,101421,Start HK Trail,control,2021-02-13 16:08:25,00:59:23,3563,33:22:25,
2021,21hk4tuc,13,Lau Chun Man 劉俊文,True,N/A,101422,End HK Trail,control,2021-02-14 01:24:45,09:16:20,33380,42:38:45,
2021,21hk4tuc,13,Lau Chun Man 劉俊文,True,N/A,101424,Start Lantau Trail,control,2021-02-14 03:31:51,02:07:06,7626,44:45:51,
2021,21hk4tuc,13,Lau Chun Man 劉俊文,True,N/A,101425,Finish,finish,2021-02-14 17:41:11,14:09:20,50960,58:55:11,
2021,21hk4tuc,17,Hyun Chang Chung,True,N/A,101412,Start,start,2021-02-12 06:35:00,,0,00:00:00,
2021,21hk4tuc,17,Hyun Chang Chung,True,N/A,101415,End Maclehose Trail,control,2021-02-12 21:33:12,14:58:12,53892,14:58:12,
2021,21hk4tuc,17,Hyun Chang Chung,True,N/A,101418,Start Wilson Trail,control,2021-02-12 22:13:44,00:40:32,2432,15:38:44,
2021,21hk4tuc,17,Hyun Chang Chung,True,N/A,101419,End Wilson Trail,control,2021-02-13 15:02:12,16:48:28,60508,32:27:12,
2021,21hk4tuc,17,Hyun Chang Chung,True,N/A,101421,Start HK Trail,control,2021-02-13 15:33:14,00:31:02,1862,32:58:14,
2021,21hk4tuc,17,Hyun Chang Chung,True,N/A,101422,End HK Trail,control,2021-02-14 01:25:14,09:52:00,35520,42:50:14,
2021,21hk4tuc,17,Hyun Chang Chung,True,N/A,101424,Start Lantau Trail,control,2021-02-14 03:30:45,02:05:31,7531,44:55:45,
2021,21hk4tuc,17,Hyun Chang Chung,True,N/A,101425,Finish,finish,2021-02-14 17:58:56,14:28:11,52091,59:23:56,
2021,21hk4tuc,12,Nikki Han,True,N/A,101412,Start,start,2021-02-12 06:31:00,,0,00:00:00,
2021,21hk4tuc,12,Nikki Han,True,N/A,101415,End Maclehose Trail,control,2021-02-12 22:04:59,15:33:59,56039,15:33:59,
2021,21hk4tuc,12,Nikki Han,True,N/A,101418,Start Wilson Trail,control,2021-02-12 22:55:03,00:50:04,3004,16:24:03,
2021,21hk4tuc,12,Nikki Han,True,N/A,101419,End Wilson Trail,control,2021-02-13 16:23:49,17:28:46,62926,33:52:49,
2021,21hk4tuc,12,Nikki Han,True,N/A,101421,Start HK Trail,control,2021-02-13 16:52:21,00:28:32,1712,34:21:21,
2021,21hk4tuc,12,Nikki Han,True,N/A,101422,End HK Trail,control,2021-02-14 02:21:14,09:28:53,34133,43:50:14,
2021,21hk4tuc,12,Nikki Han,True,N/A,101424,Start Lantau Trail,control,2021-02-14 03:31:36,01:10:22,4222,45:00:36,
2021,21hk4tuc,12,Nikki Han,True,N/A,101425,Finish,finish,2021-02-14 18:13:18,14:41:42,52902,59:42:18,
2021,21hk4tuc,1,Law Chor Kin 羅楚健,True,N/A,101412,Start,start,2021-02-12 06:08:00,,0,00:00:00,
2021,21hk4tuc,1,Law Chor Kin 羅楚健,True,N/A,101415,End Maclehose Trail,control,2021-02-12 20:36:10,14:28:10,52090,14:28:10,
2021,21hk4tuc,1,Law Chor Kin 羅楚健,True,N/A,101418,Start Wilson Trail,control,2021-02-12 21:16:21,00:40:11,2411,15:08:21,
2021,21hk4tuc,1,Law Chor Kin 羅楚健,True,N/A,101419,End Wilson Trail,control,2021-02-13 16:04:20,18:47:59,67679,33:56:20,
2021,21hk4tuc,1,Law Chor Kin 羅楚健,True,N/A,101421,Start HK Trail,control,2021-02-13 16:34:46,00:30:26,1826,34:26:46,
2021,21hk4tuc,1,Law Chor Kin 羅楚健,True,N/A,101422,End HK Trail,control,2021-02-14 02:14:28,09:39:42,34782,44:06:28,
2021,21hk4tuc,1,Law Chor Kin 羅楚健,True,N/A,101424,Start Lantau Trail,control,2021-02-14 03:42:56,01:28:28,5308,45:34:56,
2021,21hk4tuc,1,Law Chor Kin 羅楚健,True,N/A,101425,Finish,finish,2021-02-14 17:58:34,14:15:38,51338,59:50:34,
2021,21hk4tuc,15,Law Kai Pong 羅啟邦,True,N/A,101412,Start,start,2021-02-12 06:38:00,,0,00:00:00,
2021,21hk4tuc,15,Law Kai Pong 羅啟邦,True,N/A,101415,End Maclehose Trail,control,2021-02-12 19:38:46,13:00:46,46846,13:00:46,
2021,21hk4tuc,15,Law Kai Pong 羅啟邦,True,N/A,101418,Start Wilson Trail,control,2021-02-12 20:44:01,01:05:15,3915,14:06:01,
2021,21hk4tuc,15,Law Kai Pong 羅啟邦,True,N/A,101419,End Wilson Trail,control,2021-02-13 11:57:53,15:13:52,54832,29:19:53,
2021,21hk4tuc,15,Law Kai Pong 羅啟邦,True,N/A,101421,Start HK Trail,control,2021-02-13 12:40:38,00:42:45,2565,30:02:38,
2021,21hk4tuc,15,Law Kai Pong 羅啟邦,True,N/A,101422,End HK Trail,control,2021-02-13 21:00:00,08:19:22,29962,38:22:00,
2021,21hk4tuc,15,Law Kai Pong 羅啟邦,True,N/A,101424,Start Lantau Trail,control,2021-02-14 00:28:14,03:28:14,12494,41:50:14,
2021,21hk4tuc,15,Law Kai Pong 羅啟邦,True,N/A,101425,Finish,finish,2021-02-14 20:38:17,20:10:03,72603,62:00:17,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101412,Start,start,2021-02-12 06:26:00,,0,00:00:00,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101415,End Maclehose Trail,control,2021-02-12 22:40:20,16:14:20,58460,16:14:20,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101418,Start Wilson Trail,control,2021-02-12 23:50:15,01:09:55,4195,17:24:15,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101419,End Wilson Trail,control,2021-02-13 18:04:45,18:14:30,65670,35:38:45,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101421,Start HK Trail,control,2021-02-13 18:34:19,00:29:34,1774,36:08:19,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101422,End HK Trail,control,2021-02-14 06:04:38,11:30:19,41419,47:38:38,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101424,Start Lantau Trail,control,2021-02-14 23:43:51,17:39:13,63553,65:17:51,
2021,21hk4tuc,8,Fanny Wu Yi Hua 吳益華,True,N/A,101425,Finish,finish,2021-02-14 23:49:16,00:05:25,325,65:23:16,
2021,21hk4tuc,10,Will Hayward,True,N/A,101412,Start,start,2021-02-12 06:23:00,,0,00:00:00,
2021,21hk4tuc,10,Will Hayward,True,N/A,101415,End Maclehose Trail,control,2021-02-12 22:19:19,15:56:19,57379,15:56:19,
2021,21hk4tuc,10,Will Hayward,True,N/A,101418,Start Wilson Trail,control,2021-02-12 23:09:30,00:50:11,3011,16:46:30,
2021,21hk4tuc,10,Will Hayward,True,N/A,101419,End Wilson Trail,control,2021-02-13 18:21:17,19:11:47,69107,35:58:17,
2021,21hk4tuc,10,Will Hayward,True,N/A,101421,Start HK Trail,control,2021-02-13 19:06:27,00:45:10,2710,36:43:27,
2021,21hk4tuc,10,Will Hayward,True,N/A,101422,End HK Trail,control,2021-02-14 06:17:21,11:10:54,40254,47:54:21,
2021,21hk4tuc,10,Will Hayward,True,N/A,101424,Start Lantau Trail,control,2021-02-14 08:30:50,02:13:29,8009,50:07:50,
2021,21hk4tuc,10,Will Hayward,True,N/A,101425,Finish,finish,2021-02-15 01:22:44,16:51:54,60714,66:59:44,
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,True,N/A,101412,Start,start,2021-02-12 06:13:00,,0,00:00:00,
2021,21hk4tuc,14,Chris Kwan Yee Ting 關綺婷,True,N/A,101415,End Maclehose Trail,control,2021-02-13 00:00:30,17:47:30,64050,17:47:30,
